CodemixedText,HateorNot,text_length,matched_words,has_profanity,total_severity,Rule_Hate
knowing ki vikas kitna samjhata hai priyanka aur itch guard luv ko usne bola tha ben wali baat me ab sallu ne bhi agree kiya,0,124,[],0,0,0
i am muhajir aur mere lye sab se pehly pakistan he agr lakh altaf jese leaders bh is zameen ki behurmati kren un sbko sar e aam phansi deni chahye proud to be a and,0,164,[],0,0,0
doctor sab sahi me ke phd in hate politics wale bhai padhe likhe ho fir kyu ye sab baate karte ho tum bas bowling khelo aur maje lo pictwittercomfkqubqstw,0,154,[],0,0,0
poore desh me patel obc me aate hain sirf gujrat ko chor kar may be ye manuwadiyon bramanwadi kabhi aapko aarackchan nahi denge ye to jis obc ko mila hai usse bhi nafrat karte hain ye khoon aur chamdi ka frak karne waale bharmhanwadi kisi ke sage nahi hain,0,256,[],0,0,0
sarkar banne ke bad hindu hit me ek bhi faisla jo bjp ke dwara liya gaya hobjp ko gaygobarmandirmasjid aur nafrat faila kar vot chahiye,1,135,[],0,0,0
hate it jab test ata ho phr bh acha na ho,1,41,[],0,0,0
ek dil ek jaan akal ke imitihaan kal kp ke rape aur sawing between two legs after rape honge justified due to cinematic liberty aaj toh rajput ki ho gayi shaan urdu ki gulaam,0,174,[],0,0,0
aise logo se sakht nafrat karta hu jo caste ko naam ke sath jod ke chaude hote h but real me vo piddu hote h,1,108,[],0,0,0
sir jyada sentimental mat ho jao peene ke baadjiss desh ki buniyad sirf hindu hatred pe hui ho woh kabhi nahi sudrega aap pok de do yaa phir kabootar udao jawab sirf goliyon se milega,1,183,[],0,0,0
i am very sorry to say saaf dil shilpa ke fans hiten ke dil mein kya hai woh bhi samjhte hain hadh hoti hai nafrat ki bhi,0,121,[],0,0,0
madambahut sochsamajhkr mai ess tarq pe pureymahino mei pahucha hoon k asli wajah muslim hatredhai jo kabipartitionramtemplegaumatabharatmaatakijai vandematram raastragan pak premigaddaarbachche jyada bibiyabachche k safar tai karte huey tajmahal p jake atka hai,0,262,[],0,0,0
i hate sapna yaar coz khud ko toh chalana aati nae aur hum agar tez chalaenge toh tokna shru dheere se chalao,1,109,[],0,0,0
ha rem emoji i hate this emoji mujhe nagini ki hi yaad aati hai,0,63,[],0,0,0
hate heena too much irritating n bat karne ka tamiz nhi hai unmesab ko insult karna ati hai unkobas aur kuch nhi ati haibohot insecure hai wo ladki,1,147,[],0,0,0
sir apki fav kon hai iss seasn mai,0,34,[],0,0,0
mehanat to school me copy karke likhne me b lagti hai fir illegal kyu atanki ko b lagti hai fir nafrat kyu paise lekar ghar ki aurato ka smman bech doge kya paise aur mehanat ke liye aap,0,186,[],0,0,0
ladla wo hay jo fard jurm kay bad bhi girftar nahi hota money trail nahi deta aur saza nahi milti murder karta hay aur phansi nahi lagti,0,136,[],0,0,0
aur ye barun ka comeback show tha koi q nahi dekhna chahega lekin fir b nahi dekh paye mai shivani ko q hate karu muze uski acting nahi achchi lagi jo muze laga wo maine kaha wo mera opinion hai,0,194,[],0,0,0
sir ji ab ye possible nahi hai bahut nafrat hai dono or ab ek hi rasta hai sarhad ke lakir ko mita kar hi ye khatam ho sakta hai jinna sahab to mar gaye or neharu ji bhi ab fir se ek kartay hai dono mulk ko akhand bharat ek bharat,0,230,[],0,0,0
code phatta hai toh phatne do mujhe project se nafrat ho gayi hai mujhe development team se hatne do,1,100,[],0,0,0
arsi bahar jani chahiye i hate arsi khan,1,40,[],0,0,0
achha bta diya hum n show hi nhi dekha tha khbri krta kuch ni sirf maa bnta h kr hina ko hate,0,93,[],0,0,0
karachi say agencies panjabi pathano ko qatal kerkay onki lashain gaoon bhaijti hain takey mohajiro kaykhilaf nafrat paida ho,1,125,[],0,0,0
kaahe ke hindu bhamhanwadi se nafrat hai bus,0,44,[],0,0,0
aj arshi ne jo laat eske pichwade mei mari thi wo photo twit kro bhai juldi se,0,78,[],0,0,0
ar tag kro ki konkon esh hyena ko munh mei haddi dalna chahta h ya laat marna arshi ki trh,0,90,[],0,0,0
gf khoon peene k liye hoti hai aur apne babu ko thana thilane k liye bas,0,72,[],0,0,0
haa bhai ye chutiye log ki hatred apni liye milan ki bela ban k aayi hai lets screw this haters,1,95,[],0,0,0
abe bigg boss show me baki contestants bhi hai un se related news deta nhisirf sari updates hina se related deta haiwo bhi hate walikhabari hai bakri chabar chabar karta rehta hina k bare me,0,190,[],0,0,0
stone miracle of hazrat imam hussain ra wo pathar jis se abhi tak khoon behta hai via,0,85,[],0,0,0
pappu ka ye saja phansi se kam nahi,0,35,[],0,0,0
sir phansi nahi sirf looted money wapas chaiya,0,46,[],0,0,0
bhai ye log honour killing mein vishwas rakhne walo me se hain khud dusri ki beheno ko din raat chedege kisine inki behen pe tippani bhi kardi toh murder vegere ki dhamki dete hain,1,180,[],0,0,0
aap log kabhi america ki dalali karto kabhi nafrat,0,50,[],0,0,0
agar isse love kehte toh hum jo karte usse kya hate,0,51,[],0,0,0
bc pehli baar kisne hail hitler kaha hai nahi toh ko sab sadakchaap wala gaaliyan dete hai,0,90,['bc'],1,10,1
modi u r a hopeless pm apne garib ko maar daala i hate u sirf aap bol bacchan dete ho karte kuch bhi nhi u r fake person,1,120,[],0,0,0
provinces or banana to achi baat hay magar pakistani bun jana to fakhar ki baat hui na baat baat p nafrat achi nahi,0,115,[],0,0,0
acha tou un per quota system laga ya unko punjab say baher nikala jaisay mohajiron ko nikala intr sindh say unki industry nationalise hoi unko punjabion nay nafrat say pukra jaisay sindhi pukarty thy punjab ny unko qabool kia lakin sindhi ny hum ko nahi qabol kia,0,263,[],0,0,0
bhutto sb juke nahi phansi char gayeniazi se kaho mafi nama wapis le kar phansi char jaye phir maanoo or gande message bi chorne pare ge,0,136,[],0,0,0
pervez musharraf nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast haramkhoor nawaz shareef ko phansi do moto gang k sath,0,159,[],0,0,0
jis country me sab se kam rape hote hn wahan ka qanoon laagu hona chahiye india me tabhi in darindo ka kuch ilaaj ho sakta hai,0,126,[],0,0,0
