comment,label
Phoolo ahT Taaron Ka Sabka chT Hai Ek R Kilo Ki Meri Behna,1
eeneu,1
1,1
Snezy Everyone : Pawri ho rahi hai Frustrated Me: PAWRI SHAWRI DHOKA HAI PADHLe BeTA mOKA 2995,1
Stinystep KITNI MOTI HOGYI HAI TU MOTI KISKO BOLA RE TAKLE,1
/memerhubc69 *Raat bhar jaag kar aur fir subhah late uthkar kya milta hai Me: Ye alag kism ka nasha hai,1
Girls Before & After 21 Days Lockdown Boys Before & Aft 210 ckdou,1
FB/Funhg Lif,1
Modi  ji ko bs Desh ki pari hai Idhar mera wala mese baat nhi kr rha,0
DILO.MEIN.APNIBETABIYA NAZARIMEKHAWBOKIBILIYA AUR4-5BACKLOGLEKECHALRAHEHO TOH SACCHEENGINEER HO TUM,1
fraataa,1
3 34 H..! fah,1
"""E IER   fa SlP Ph",1
"Husband-,",1
"Husband-, anfey... Wife -.",1
Ufffff Allah Muihe itta cute b.com lenb kyu bnaya,1
School.wali.baatein @School.wali.baatein 2 ghante non stop lecture dene k baad mom kehti hai School.wali.Baatein IG |@School.wali.Baatein mene toh isse kuch kehna hi chord diya hai.... School wali Baatein,1
R,1
WHATDOYOUMEANNOUDIDN TGETMY FATHER'SDAYCARD? DDYOUCHECKYOURSPAM FOLDERE??,0
excuse me Rqh,1
Naseeb Mein Hum Nahi Us Bada Badnaseeb 3 Koi Nahi,1
6 bloator,1
ngh,1
WhatsApp gf  HandsomeDashing e,1
h f g Admin..Single,1
"Dil wil pyaar wyaar me kya jaanu re Aankhe kholu to jhaadu,pocha bartan maanju ree",1
Aur Batao.. Fb.com/Aypor Fb.com/Avpjokes Kya Bataun.Beyyy,1
"Na Me-mujhe naya school bag chahiye Mom-bhaiya ka bag le le,usko naya dila denge Me~",1
y .,1
Serious Baat Karo To Log Majak Bana Lete Hai Mazak Karo To Muh Fula Lete Hai,1
School life  sir Homework  /BhukkadBabaj R Th,1
WELLTHENSMARTASS TELLME THE CORRECT ANSWER,1
en y e n AINSPIRED -425 hh hh INSPIRED www. INSPIREDHINDI. SLOGSPOT.COM,1
When you wake up in the middle of the night and realize you still have time to sleep,1
135,1
"Chapter 3 ke Notes Send Kar 1150AM Mere Pass Nahi Hain  11:52AM Acha Toh Chapter 4 Ke hi Bej dee  Yaar Sachi Voh Bhi Nahi Hai 11:52AM Beta,agr tere 90% aaye na toh crime petrol mein tera episode aayega  11:S2AM",1
f- .! WWW.HASLEA SS.COM,1
RR 18yo.53 25yo.3 35yo.3 45yo.3 f SR 3,1
MUKESM AMBANI AT ANY OFHISKID'SWEDOING,1
Achha Suno slfaq Nahi Hun Lekin Itna Bata Sakta Hun @aurbataoo Is Time Aapki 4 Ungliya Phone Ke Piche Hai..,1
Hm Manhoos Billi se zyada popular hogae hain FB pe Hain?BC ABC ABC!!,1
Mere Pass AAM hai,1
Height of indian TV Serial Ch*tiyapa. Hair style dekho aur makeup bhi hogya Lekin saari nahi pahni jarhi....,1
ff,1
WHENYOUREALIZES SUMMERIS-COMING AND YOUR WINTER BODY HASGOTTEN OUT OFCONTRO 97+Funny Kid Funny True Funny Funny Memes Funny Baby Memes.50..,0
